Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168695,25/11/2025,Scarborough,Alfreton,1.3185,1.16286,0.43276,0.36841,26.662,21.474,51.864
14168697,25/11/2025,Worksop,South Shields,1.6527,1.03395,1.23143,0.84158,44.645,24.02,31.335
14168698,25/11/2025,Radcliffe,Southport,1.46731,1.25164,1.52981,1.38883,39.542,32.353,28.105
14168699,29/11/2025,Bedford,Darlington,0.59949,2.23428,1.58608,2.94592,14.442,68.935,16.623
14168700,29/11/2025,Buxton,Merthyr,1.26522,1.44882,1.14252,1.25786,32.642,38.762,28.596
14168703,29/11/2025,Leamington,Worksop,0.90404,1.81028,0.92832,1.45519,20.612,50.82,28.568
14168705,29/11/2025,Oxford,King's Lynn,0.23625,2.64753,0.91166,2.76835,4.001,84.377,11.622
14168708,29/11/2025,Scarborough,Macclesfield,1.75826,0.98723,1.66328,1.17638,50.125,24.424,25.451
14168709,06/12/2025,Curzon Ashton,Alfreton,1.87983,0.85881,1.54641,0.92861,53.949,19.915,26.136
14168711,29/11/2025,Telford,Radcliffe,0.71435,2.07425,1.35379,2.34217,16.765,62.095,21.14
14168712,06/12/2025,Southport,Telford,0.34138,2.50471,0.8391,2.31398,6.249,78.36,15.391
14168713,06/12/2025,Fylde,Merthyr,1.07878,1.6648,1.37075,1.73016,27.412,46.946,25.642
14168714,06/12/2025,King's Lynn,Chester,1.6339,1.09366,1.48754,1.16023,45.382,27.374,27.244
14168717,06/12/2025,Marine,Spennymoor,0.40508,2.40065,0.45481,1.79187,7.027,73.546,19.427
14168718,06/12/2025,Scarborough,Bedford,1.41839,1.29665,2.0217,1.91771,37.781,33.723,28.496
14168719,06/12/2025,South Shields,Kidderminster,1.01989,1.71721,1.19306,1.68481,25.233,48.477,26.29
14168720,06/11/2025,Chorley,Worksop,1.29849,1.43496,1.90298,1.98518,34.398,38.947,26.655
14168722,20/12/2025,Hereford,Chorley,1.00233,1.77546,1.742,2.34266,26.004,51.775,22.221
14168723,20/12/2025,Marine,Bedford,2.31508,0.48703,1.89093,0.63677,70.573,9.638,19.789
14168724,20/12/2025,Telford,Buxton,1.30211,1.37873,0.99831,1.07175,32.765,35.319,31.916
14168725,06/12/2025,Darlington,Oxford,0.05127,2.91519,0.36348,3.26064,0.591,96.055,3.354
14168726,20/12/2025,Chester,South Shields,2.34747,0.49491,2.95155,1.41921,72.995,11.243,15.762
14168727,20/12/2025,Darlington,King's Lynn,0.91136,1.75439,0.58569,1.03198,19.237,47.338,33.425
14168728,20/12/2025,Kidderminster,Fylde,1.92861,0.72372,0.98966,0.37598,52.698,12.535,34.767
14168729,20/12/2025,Merthyr,Curzon Ashton,2.48012,0.3665,2.50021,0.86885,77.558,7.104,15.338
14168730,20/12/2025,Peterborough,Scarborough,0.16944,2.75193,0.93631,3.30566,3.027,89.11,7.863
14168731,20/12/2025,Leamington,Radcliffe,1.05693,1.63284,1.17764,1.52836,24.89,44.087,31.023
14168732,20/12/2025,Southport,Worksop,0.6732,2.12238,1.32855,2.33636,15.626,63.932,20.442
14168733,20/12/2025,Oxford,Spennymoor,1.29475,1.37731,0.94435,0.99809,32.227,34.979,32.794
14168734,26/12/2025,Chorley,Fylde,0.33146,2.52962,0.84645,2.53069,6.418,79.69,13.892
14168735,26/12/2025,Chester,Telford,1.25424,1.4601,1.29961,1.41778,32.286,39.148,28.566
