Player Name,Player Team,Average xG,Average Post Shot xG,Player Ave Impact on Post Shot xG
Rio Clegg,Radcliffe,0.1522738128712871,0.1511087326732673,-0.0011650801980198078
Bradley Jackson,Radcliffe,0.12034799999999998,0.11519411764705882,-0.005153882352941161
Michael Afuye,Radcliffe,0.0647545469387755,0.07497432653061226,0.010219779591836758
Sam Osborne,Alfreton,0.07113827906976744,0.04056576744186046,-0.03057251162790698
Luca Miller,Peterborough,0.1406976935483871,0.20238790322580644,0.06169020967741934
Max Booth,Peterborough,0.1394443783783784,0.11366731578947367,-0.02577706258890472
Kieron Freeman,Alfreton,0.042295,0.0170475,-0.0252475
Maliq Cadogan,Peterborough,0.044500814285714285,0.00893857142857143,-0.03556224285714286
Kaine Felix,Peterborough,0.13057293749999999,0.049792499999999996,-0.0807804375
Cormac Daly,Hereford,0.10751995833333335,0.12555333333333332,0.018033374999999977
George Munday,Hereford,0.130696,0.10669,-0.024006000000000013
Kyle Howkins,Hereford,0.13757461538461538,0.11066153846153846,-0.026913076923076915
Lewis Hudson,Hereford,0.20971045,0.19377000000000003,-0.015940449999999967
Lawson D'Ath,Hereford,0.046098541666666666,0.05373791666666666,0.007639374999999997
Kai Lissimore,Alfreton,0.0616195,0.07794,0.016320499999999995
Keziah Martin,Hereford,0.07201270000000001,0.08789,0.015877299999999983
Harrison Sohna,Hereford,0.10693382352941178,0.1920264117647059,0.08509258823529411
James Gale,Macclesfield,0.1730273414634146,0.12784048780487806,-0.04518685365853656
Paul Dawson,Macclesfield,0.082784953125,0.1181140625,0.035329109375
Josh Clackstone,Alfreton,0.00245435,0.0,-0.00245435
Luke Duffy,Macclesfield,0.08248556764705882,0.09949558382352942,0.017010016176470605
Elliot Osborne,Macclesfield,0.01814725,0.13252999999999998,0.11438274999999998
Isaac Buckley-Ricketts,Macclesfield,0.13972009523809525,0.10966296904761903,-0.03005712619047622
Lewis Fensome,Macclesfield,0.08319666666666667,0.010097333333333331,-0.07309933333333334
Milan Lalkovič,Chorley,0.0399267,0.058105000000000004,0.0181783
Dylan Youmbi,Alfreton,0.176685,0.0557,-0.12098500000000001
Taelor O' Kane,Chorley,0.12291329629629628,0.10900740740740741,-0.01390588888888887
Warren Clarke,Chorley,0.1287033333333333,0.08171487179487179,-0.04698846153846152
Harry Ibbitson,Chorley,0.17335567567567567,0.14959,-0.023765675675675668
Mike Calveley,Chorley,0.16335082142857146,0.19411107142857145,0.03076024999999999
Scott Wilson,Chorley,0.18092750000000002,0.11424999999999999,-0.06667750000000003
Jack Griffiths,Chorley,0.03127339999999999,0.0,-0.03127339999999999
Jack Moore,Chorley,0.04067275,0.027276249999999995,-0.013396500000000006
Sam Brown,Bedford,0.15153333333333333,0.14373333333333335,-0.007799999999999974
Greg Taylor,Bedford,0.054498045454545445,0.02632681818181818,-0.028171227272727264
Claude Kayibanda,Bedford,0.001047,0.0,-0.001047
Jack  McDowell,Bedford,0.051419999999999993,0.0,-0.051419999999999993
Cole Kpekawa,Bedford,0.255688,0.25071666666666664,-0.004971333333333383
Ellis Brown,Bedford,0.09500716666666668,0.1109924375,0.015985270833333315
Ricardo Dinanga,Telford,0.08779558823529413,0.09334941176470589,0.005553823529411764
Luke Rowe,Telford,0.07196333333333334,0.0,-0.07196333333333334
Junior Gyamfi,Bedford,0.07931969047619047,0.07424809523809524,-0.005071595238095236
Joshua Tomlinson,Bedford,0.29962,0.089625,-0.209995
Ryan Blake,Bedford,0.07452227272727273,0.21958181818181818,0.14505954545454547
Shaun Jeffers,Bedford,0.1788708333333333,0.22111083333333328,0.04223999999999997
Oluwasegun Lawal,Telford,0.10048038095238096,0.05234952380952382,-0.04813085714285714
Eddie Panter,Bedford,0.09809833333333334,0.028766666666666666,-0.06933166666666668
Daniel Dodds,South Shields,0.1333669411764706,0.09282647058823529,-0.04054047058823532
Dan  Savage,South Shields,0.16347399999999998,0.044516,-0.11895799999999998
Ethan Mann,South Shields,0.018832,0.006946666666666667,-0.011885333333333335
Martin Smith,South Shields,0.050155,0.09945,0.049295
Tony Weston,Curzon Ashton,0.1126431168831169,0.10083166233766233,-0.01181145454545457
James Spencer,Curzon Ashton,0.14325779591836735,0.1258183673469388,-0.01743942857142855
Chris Wreh,Bedford,0.1028,0.0,-0.1028
Bradley Holmes,Curzon Ashton,0.17168355999999999,0.13094940000000002,-0.040734159999999964
Ben Darby,Curzon Ashton,0.11971562962962964,0.15880255555555556,0.039086925925925914
Alex Samuel  Curran,Curzon Ashton,0.13166560303030306,0.1393418303030303,0.007676227272727237
Crispin McLean,Curzon Ashton,0.09265985714285714,0.08132857142857143,-0.01133128571428571
Robert Ramshaw,Spennymoor,0.11952359677419355,0.0929732258064516,-0.026550370967741946
Junior Mondal,Spennymoor,0.1522276923076923,0.2584044102564103,0.106176717948718
