Match Id,Date,Home Team,Away Team,Home Team XP,Away Team XP,Home Team XG,Away Team XG,Home Team %,Away Team %,Draw %
14168493,16/08/2025,Chorley,Chester,2.77032,0.12429,2.08947,0.06682,88.831,0.63,10.539
14168498,19/08/2025,Chorley,Scarborough,0.74897,2.06801,2.38666,3.4475,18.865,62.833,18.302
14168522,25/08/2025,Chorley,King's Lynn,2.75988,0.13215,2.00875,0.08322,88.397,0.806,10.797
14168558,06/09/2025,Chorley,Telford,0.29634,2.59617,1.59877,3.79114,6.295,82.956,10.749
14168570,20/09/2025,Chorley,Macclesfield,2.04137,0.72164,2.29247,1.46644,60.146,16.155,23.699
14168591,11/10/2025,Chorley,Oxford,2.25992,0.53552,2.11889,0.96665,68.512,11.032,20.456
14168653,04/11/2025,Chorley,Alfreton,1.29981,1.20702,0.46659,0.41952,26.888,23.795,49.317
14168678,22/11/2025,Chorley,Bedford,1.05334,1.65343,1.3347,1.67685,25.337,45.34,29.323
14168690,25/11/2025,Chorley,Spennymoor,0.8963,1.74605,0.49648,0.92869,17.955,46.28,35.765
14168722,20/12/2025,Chorley,Hereford,1.77691,0.99964,2.33374,1.73762,51.782,25.873,22.345
14168749,30/12/2025,Chorley,Marine,2.5216,0.35764,3.65568,1.60851,80.028,7.896,12.076
14168792,24/01/2026,Chorley,Darlington,1.95777,0.80031,1.74085,0.94736,57.195,18.613,24.192
14168821,31/01/2026,Chorley,Peterborough,1.46742,1.24164,1.28176,1.12906,39.216,31.69,29.094
15326174,03/02/2026,Chorley,Leamington,2.11185,0.6672,2.11799,1.06273,63.03,14.875,22.095
14168841,10/02/2026,Chorley,Southport,1.80178,0.91006,1.45837,0.89125,50.454,20.73,28.816
14168855,14/02/2026,Chorley,Radcliffe,2.35586,0.36215,1.12007,0.09596,69.129,2.672,28.199
14168917,10/03/2026,Chorley,South Shields,2.25745,0.52294,1.78141,0.63634,67.928,10.111,21.961
14168930,14/03/2026,Chorley,Buxton,0.91166,1.88831,2.08271,2.84816,23.721,56.276,20.003
15473461,17/03/2026,Chorley,Kiddiminster,1.66693,1.04485,1.30377,0.90871,45.957,25.221,28.822
14168491,09/08/2025,Curzon Ashton,Leamington,2.61101,0.27752,3.19466,1.15638,83.318,5.535,11.147
14168507,23/08/2025,Curzon Ashton,Merthyr,0.18368,2.68913,0.1845,1.80809,1.883,85.398,12.719
14168537,30/08/2025,Curzon Ashton,Kidderminster,2.00839,0.7303,1.69835,0.89813,58.236,15.633,26.131
14168543,02/09/2025,Curzon Ashton,Chorley,1.17332,1.5515,1.25592,1.50512,29.938,42.544,27.518
14168572,20/09/2025,Curzon Ashton,South Shields,0.86025,1.90191,1.47502,2.21562,20.747,55.469,23.784
14168631,25/10/2025,Curzon Ashton,Peterborough,1.81285,0.96622,2.25806,1.66178,53.064,24.843,22.093
14813803,28/10/2025,Curzon Ashton,King's Lynn,1.00299,1.77687,1.61349,2.19796,26.095,51.891,22.014
14168655,04/11/2025,Curzon Ashton,Spennymoor,0.99793,1.75675,1.51772,2.02358,25.087,50.381,24.532
14168666,08/11/2025,Curzon Ashton,Scarborough,1.32819,1.3644,1.06037,1.10935,34.026,35.233,30.741
14168709,06/12/2025,Curzon Ashton,Alfreton,1.8788,0.85916,1.54759,0.9285,53.892,19.904,26.204
14168736,26/12/2025,Curzon Ashton,Radcliffe,0.19025,2.70968,0.49688,2.56692,3.006,86.987,10.007
14168786,17/01/2026,Curzon Ashton,Telford,0.16914,2.7648,1.50738,4.52015,3.436,89.958,6.606
14168824,31/01/2026,Curzon Ashton,Hereford,1.73407,0.98644,2.02707,1.54908,48.486,23.565,27.949
15399954,03/02/2026,Curzon Ashton,Bedford,2.67119,0.22022,3.19375,1.0677,85.42,3.721,10.859
