Player Name,Player Team,Total xG,Total Post Shot xG,Player Total Impact on Post Shot xG
Eddie Panter,Bedford,1.7657699999999998,0.5178,-1.2479699999999998
Daniel Dodds,South Shields,13.603428000000001,9.4683,-4.135128000000002
Dan  Savage,South Shields,2.4521100000000002,0.66774,-1.7843700000000002
Ethan Mann,South Shields,0.169488,0.06252,-0.106968
Martin Smith,South Shields,0.30093000000000003,0.5967,0.29577
Tony Weston,Curzon Ashton,26.020560000000003,23.292113999999998,-2.7284460000000053
James Spencer,Curzon Ashton,21.058896,18.4953,-2.5635960000000004
Chris Wreh,Bedford,0.3084,0.0,-0.3084
Bradley Holmes,Curzon Ashton,28.032534,22.07241,-5.960123999999997
Ben Darby,Curzon Ashton,9.696966,12.863007,3.166041
Alex Samuel  Curran,Curzon Ashton,26.069789399999998,27.589682399999997,1.5198929999999997
Crispin McLean,Curzon Ashton,1.945857,1.7079,-0.23795699999999997
Robert Ramshaw,Spennymoor,22.231389,17.29302,-4.938369000000002
Junior Mondal,Spennymoor,17.81064,30.233316,12.422676
Josh Phillips,Bedford,0.94548,0.0,-0.94548
Joshua Parker,Oxford,15.653900699999998,15.09069,-0.5632106999999973
Leon Lobjoit,Bedford,5.011799999999999,3.4440600000000003,-1.5677399999999988
Josh Ashby,Oxford,14.9853366,18.51621,3.530873400000001
Tom Scott,Oxford,13.46208,17.246699999999997,3.7846199999999968
Jack Bearne,Oxford,5.893635000000001,6.009869999999999,0.11623499999999876
Ewan Clark,Oxford,9.069201,11.821349999999999,2.7521489999999993
Ryan Blackman,Bedford,0.462468,0.05826,-0.404208
Cole Jarvis,Merthyr,15.449483999999998,21.907524000000002,6.458040000000004
Greg Sandiford,Bedford,1.0996674,2.10243,1.0027626
Ricardo Rees,Merthyr,36.323448,41.756730000000005,5.4332820000000055
Callum Ryan-Phillips,Merthyr,6.17721,10.8945,4.717290000000001
Callum Tripp,Bedford,0.84207,0.4302,-0.41186999999999996
Joshua Phillips,Bedford,3.6555315,3.8380620000000003,0.18253050000000037
Callum Ebanks,Buxton,13.561254000000002,6.99474,-6.5665140000000015
Tate Campbell,Buxton,7.841375999999999,11.8167,3.9753240000000023
Connor Kirby,Buxton,7.8952875,6.8638200000000005,-1.0314674999999998
Tai Sodje,Buxton,18.430401,22.156473,3.7260719999999985
Johnny Johnston,Buxton,17.094759,10.72331874,-6.37144026
Luke Brennan,Buxton,23.056617,24.9264,1.8697830000000017
Thomas Allan,Darlington,11.408166000000001,10.70703,-0.7011360000000018
Connor Barratt,Bedford,1.5846,2.3907,0.8060999999999998
Jago  Godden,Bedford,4.700094,5.98512,1.2850260000000002
Toby Lees,Darlington,7.95327,11.53413,3.5808599999999995
Charlie Lennon,Darlington,6.9710163,5.104710000000001,-1.8663062999999989
Max Howells,Darlington,10.991073,9.22131,-1.7697629999999993
Tye Barton,Darlington,0.052956,0.0,-0.052956
Danny Elliott,Macclesfield,32.942226000000005,32.802813,-0.13941300000000467
Josh Kay,Macclesfield,8.286201,7.13463,-1.1515710000000006
Justin Johnson,Macclesfield,5.084334,9.47658,4.392246
James Edmondson,Macclesfield,10.3393485,11.432709,1.0933604999999993
Jai Curran-Nicholls,Marine,2.0403599999999997,2.2178999999999998,0.17754000000000003
Lewis Bell,Marine,7.511129999999999,7.09647,-0.4146599999999987
Carl Mensah,Bedford,1.07646,1.29894,0.22248
Declan Drysdale,Marine,6.208074,4.58568,-1.622394
Josh Wardle,Marine,7.088030999999999,10.19244,3.1044090000000004
Bailey Marsden,Marine,2.884614,1.4157,-1.468914
Ross Crane,King's Lynn,17.455665,15.015645,-2.4400200000000005
Tom Wilson,King's Lynn,5.3600349000000005,3.86043,-1.4996049000000005
Michael Clunan,King's Lynn,9.3882873,9.2608662,-0.1274210999999994
La'Sean Sealey,King's Lynn,5.58087,2.93949,-2.64138
Luke Hunter,Fylde,3.2045879999999998,1.92,-1.2845879999999998
George Wilson,Fylde,5.616474,4.42461,-1.1918639999999998
Alex Healy-Byrne,Fylde,6.4522260000000005,6.53146128,0.0792352799999998
Chris Merrie,Fylde,5.647206,6.3560099999999995,0.7088039999999998
Jordan Slew,Southport,13.8189324,15.49227,1.6733376
Jake Taylor,Southport,0.027450000000000002,0.0,-0.027450000000000002
Djavan Michael Pedro,Southport,7.478849999999999,6.7578000000000005,-0.7210499999999982
Dylan Dwyer,Southport,0.8171999999999999,1.3799100000000002,0.5627100000000003
Dan Pike,Southport,1.0165769999999998,1.50387,0.4872930000000002
Malakai McKenzie,Southport,8.722233000000001,12.105,3.3827669999999994
Ryan James Cole,Bedford,0.52533,0.4779,-0.04742999999999997
Luke Griffiths,Southport,2.3890481999999995,1.81134,-0.5777081999999996
Bruce  Jovan Minaker,Kidderminster,1.39728,0.6318,-0.76548
Reece Devine,Kidderminster,9.054279000000001,13.534200000000002,4.479921000000001
Danny Waldron,Kidderminster,2.38431,0.9786000000000001,-1.40571
Ashley Hemmings,Kidderminster,11.9793867,10.151447999999998,-1.8279387000000007
Finley Shrimpton,Chester,9.7936536,15.177239999999998,5.383586399999997
Phil Croker,Chester,5.040558,0.8688,-4.171758
Fin Roberts,Chester,13.006689000000001,10.17492,-2.8317690000000013
Lewis Leigh,Chester,5.2105575,5.179410000000001,-0.03114749999999944
Declan Weeks,Chester,3.080382,2.4039900000000003,-0.6763919999999999
Josh Castiglione,Bedford,3.5382360000000004,5.15112,1.6128839999999993
Adam Blakeman,Chorley,5.8095342,4.57566,-1.2338741999999998
Dan Jarvis,Peterborough,7.8943251,12.8766,4.9822749
Shaquile Coulthirst,Peterborough,16.197273,15.81618,-0.3810929999999999
George Moncur,Bedford,4.208000999999999,1.31349,-2.8945109999999996
Sam McLintock,Peterborough,7.1420019,5.2415400000000005,-1.9004618999999998
Joe Payne,Bedford,0.14163,0.0,-0.14163
Aaron Martin,Worksop,28.202163,28.890299999999996,0.6881369999999976
Liam Waldock,Worksop,1.9839480000000003,5.3337,3.349752
Aleks Starcenko,Worksop,19.977927,19.956899999999997,-0.02102700000000368
Luke Waterfall,Worksop,7.648812,9.752189999999999,2.1033779999999984
Vaughan  Redford,Worksop,13.006053,8.29194,-4.714112999999999
Lewis James Whitham,Worksop,15.649033500000002,14.89620339,-0.7528301100000014
Oliver Greaves,Worksop,8.524428,11.8962,3.371772
Mason O'Malley,Worksop,0.7611960000000001,0.076482,-0.684714
Brad Roscoe,Radcliffe,11.373768,9.9525,-1.4212679999999995
Ben Nugent,Bedford,1.07817,1.5882,0.51003
Danny Greenfield,Radcliffe,11.3163351,13.283120999999998,1.9667858999999979
Kian Scales,Radcliffe,0.827844,1.45011,0.622266
Lois Maynard,Radcliffe,9.222438,8.87388,-0.3485580000000006
David Ball,Radcliffe,12.608483999999999,18.40727505,5.79879105
Matthew Sargent,Radcliffe,7.984303500000001,4.5756,-3.4087035000000014
Jon Taylor,Radcliffe,7.4714382,5.94426009,-1.5271781099999995
Sam Robinson,Buxton,2.262714,2.49921,0.23649600000000026
Oliver Thornley,Radcliffe,9.883044000000002,11.360489999999999,1.477445999999997
Andy Williams,Hereford,24.7584807,27.68418,2.9256993000000016
Matt Preston,Hereford,2.34192,1.31193,-1.02999
Omari Sterling-James,Hereford,8.1392676,9.94323,1.8039623999999996
Remaye Campbell,Hereford,15.338873999999999,14.032409999999999,-1.306464
Cian Coleman,Buxton,9.706014,10.529309999999999,0.8232959999999991
I-Lani Edwards,Hereford,7.502781000000001,4.625732999999999,-2.877048000000001
Will Trueman,Buxton,3.821184,3.21084,-0.610344
Sodje  Tai,Buxton,5.297376,5.3760900000000005,0.07871400000000062
Ryan Mclean,Buxton,3.4157579999999994,2.49222,-0.9235379999999993
Joe Rodwell-Grant,Curzon Ashton,3.2242170000000003,3.5145,0.2902829999999996
Charlie  Weston,Curzon Ashton,11.6425704,13.631879999999999,1.9893095999999986
Max Bardell,Buxton,3.5120640000000005,6.66474,3.1526759999999996
